lib,samplename,genome,input,homer_fmg_genome,basepath
118842,S0_2_Ets1,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118842
118843,5591_2_Ets1,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118843
